Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Department,Salary,Name
Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,HR,99228,KCOLZIOWKOMVMD
Bachelors,2016,Pune,2,36,Male,No,0,1,Marketing,57342,KHTET
Bachelors,2017,Pune,2,27,Female,No,5,1,IT,83919,RBXKZ
Masters,2015,Pune,2,32,Female,No,4,0,Operations,58610,OIZXNTLXIWBX
Bachelors,2014,Bangalore,3,28,Male,No,4,0,Finance,67708,JOLSETTRGJWSB
Masters,2012,New Delhi,3,32,Male,No,2,0,Finance,95095,BEJQVWM
Bachelors,2018,Bangalore,3,30,Male,No,0,1,HR,87983,PILYEJCN
Bachelors,2015,New Delhi,3,22,Male,No,0,0,Finance,86797,ANEOVPV
Bachelors,2017,New Delhi,2,34,Female,No,5,0,Operations,94352,WTVMP
Masters,2013,New Delhi,3,36,Male,No,2,0,HR,91554,DEFEMCAMPDUB
Bachelors,2014,Bangalore,3,39,Male,No,3,1,Finance,58103,XRZIWZWCZFOM
PHD,2018,Bangalore,3,26,Male,No,4,1,IT,50748,GMAFBAXNJJW
Bachelors,2016,Bangalore,3,31,Female,No,0,0,Operations,66173,TANAWBP
Bachelors,2014,Bangalore,3,27,Male,No,5,1,HR,86159,EDZXP
Bachelors,2014,Bangalore,3,29,Female,No,0,0,Operations,70700,NQLTUIMJH
Bachelors,2015,Bangalore,3,24,Female,No,2,1,HR,67119,DDNQOKQROTT
Masters,2012,Pune,3,25,Male,No,3,1,Marketing,75026,QOOFKMV
Bachelors,2013,Pune,3,25,Male,No,3,0,HR,54126,ZPOBHYO
Masters,2017,New Delhi,3,26,Female,No,4,1,Marketing,60920,ZYMGVTVQXYT
Bachelors,2015,Pune,2,28,Female,Yes,1,1,Finance,71601,IYTLA
Bachelors,2017,New Delhi,3,28,Male,No,2,0,HR,63683,RPGVFRIDD
Masters,2015,Pune,1,28,Female,No,3,1,HR,60651,DLXWVS
Masters,2015,New Delhi,3,25,Male,No,3,0,Finance,63105,IVZYVEYPAJ
Bachelors,2017,Bangalore,3,28,Male,No,1,0,HR,78139,PBCKIPC
Masters,2013,Pune,3,25,Male,No,3,0,Operations,87409,FBKTHYWJIQGN
Bachelors,2015,Bangalore,2,25,Female,No,3,1,Operations,59972,LAHMXDWXSES
Bachelors,2015,Bangalore,3,27,Female,No,5,0,Operations,65569,YQJWSWLHUPVQL
Bachelors,2017,Pune,2,27,Female,No,5,1,Marketing,93501,IFUXLOLWMTKA
Bachelors,2013,Bangalore,3,27,Male,No,5,1,Marketing,60278,NLWNWQKQEXWC
Bachelors,2012,Bangalore,3,25,Male,No,3,0,Operations,52656,DKUNLALC
Masters,2017,New Delhi,2,28,Male,No,2,0,IT,62528,AKZXFXP
Bachelors,2014,Pune,1,26,Female,No,4,1,HR,60917,CYKDMET
Bachelors,2015,Bangalore,3,28,Male,No,2,0,Marketing,84180,MYVKW
Masters,2013,New Delhi,3,26,Male,No,4,0,Marketing,56681,UMAKCEPATIAAUW
Bachelors,2017,Bangalore,3,26,Female,No,4,0,Marketing,54115,QOQSXKPIWFOFHL
Bachelors,2017,New Delhi,2,25,Male,No,3,0,Operations,52834,GJKTEJCPTHPW
Bachelors,2012,Bangalore,1,28,Female,No,3,0,Operations,63711,IQWDHFIGPAE
PHD,2015,New Delhi,3,26,Male,No,4,0,Marketing,90826,NBSHUMOJYL
Bachelors,2015,New Delhi,3,25,Female,No,3,0,HR,93549,YLWWQBUXZRLTXS
Bachelors,2012,Bangalore,3,26,Male,No,4,1,Operations,65930,POTSI
Bachelors,2014,Bangalore,3,28,Female,No,3,0,HR,87811,FDTFGUXVZX
Masters,2014,Pune,3,24,Male,No,2,0,IT,81734,DVSBIXEFBKQP
Bachelors,2013,Bangalore,3,28,Male,No,1,0,HR,87742,MLRLOA
Bachelors,2015,Pune,3,27,Male,No,5,0,IT,83156,BSBRPAIQR
Bachelors,2018,Bangalore,3,25,Male,No,3,1,Marketing,59938,CZEKCEBFK
Masters,2013,Pune,1,24,Male,No,2,1,HR,50242,JAVJFOX
Bachelors,2017,Bangalore,3,26,Female,No,4,0,Finance,74772,OPTWYUJVLEZ
Bachelors,2013,Bangalore,3,28,Male,No,1,1,HR,67374,DCFITFGESQUU
Masters,2016,New Delhi,3,27,Male,No,5,0,HR,53478,FBRKGQWBAQ
Masters,2017,Bangalore,3,26,Male,No,4,0,HR,84082,HDNZGSGFYD
Masters,2017,New Delhi,2,24,Male,No,2,0,HR,51328,UYFDYZ
Masters,2018,New Delhi,3,26,Male,No,4,1,IT,60395,DWNCWO
Masters,2017,New Delhi,1,25,Female,No,3,1,Finance,84359,TRSVCG
Bachelors,2012,Pune,3,28,Male,No,2,0,Marketing,54298,RRFAHBTBZY
Bachelors,2017,New Delhi,3,28,Male,No,2,0,Finance,71888,OJEBI
Bachelors,2013,Bangalore,3,26,Male,No,4,0,HR,89288,PBPRNBGURV
Masters,2013,New Delhi,3,27,Male,No,5,1,IT,72206,KXDJMFDQO
Bachelors,2017,Pune,2,24,Female,No,2,1,Finance,92895,HHAWDGNNQG
Bachelors,2017,New Delhi,3,28,Female,No,2,0,Finance,61088,CCSSLMRYYNEO
Bachelors,2016,Bangalore,3,26,Male,No,4,0,Operations,84068,YQRCKRQXDJPJ
Bachelors,2013,Bangalore,3,27,Female,No,5,0,Finance,63241,AJHQIEQF
Masters,2015,Pune,2,28,Female,No,3,0,HR,76153,ZMVWICXA
Bachelors,2014,Bangalore,3,25,Male,No,3,0,IT,85263,GGRHPFPM
Bachelors,2016,Pune,3,28,Male,No,1,0,HR,84387,ZXRQBVDZDGHXC
Masters,2013,Bangalore,1,25,Male,No,3,1,IT,81768,UUQGQE
Bachelors,2015,Pune,3,26,Male,No,4,0,Marketing,69297,XHAMY
Bachelors,2018,New Delhi,3,27,Female,No,5,1,Operations,63690,SJGJDTXRDOK
Bachelors,2016,Bangalore,3,24,Male,No,2,1,Operations,91648,XKKVVTUGRCGRQB
Bachelors,2012,Pune,2,24,Female,No,2,1,Operations,90980,XYCCUIGKAK
Bachelors,2014,Bangalore,3,26,Male,No,4,0,Marketing,81165,KQCNCGJNBXUPJS
Bachelors,2016,Pune,2,24,Female,No,2,1,Finance,56988,FRDEUDPVX
Masters,2012,New Delhi,3,26,Female,No,4,0,Operations,60162,DXZIYLHQPUIC
Bachelors,2013,Bangalore,3,28,Female,No,3,0,Operations,64323,RSNYCRYZKB
Bachelors,2012,Bangalore,3,24,Male,No,2,1,Operations,59210,EKHPKNJTFIQB
Bachelors,2015,Bangalore,3,25,Male,No,3,1,IT,70473,NBZHLAJFUUV
Bachelors,2016,Bangalore,3,28,Male,No,3,0,Finance,65190,UBTHPXBXTNUCC
Bachelors,2014,Bangalore,3,28,Female,No,3,0,Marketing,99229,GJHKITFTAH
Bachelors,2013,Bangalore,3,26,Female,No,4,0,Operations,94239,ETROKINN
Masters,2017,New Delhi,3,24,Female,No,2,1,Operations,62759,HNEKBVB
Bachelors,2016,Bangalore,3,25,Male,No,3,1,Finance,84059,TEUIJMQGZFV
Bachelors,2015,Bangalore,3,25,Male,No,3,0,Finance,74995,BCCKIJ
Bachelors,2014,Bangalore,3,27,Male,No,5,0,HR,51701,SZGNR
Bachelors,2012,Bangalore,3,24,Male,No,2,0,IT,55824,JVUYTD
Bachelors,2014,Bangalore,3,25,Male,No,3,0,Marketing,78871,KPZFBDZYB
Bachelors,2015,Bangalore,3,28,Male,No,3,0,HR,50011,ICAJG
Masters,2015,New Delhi,3,26,Male,No,4,1,HR,67315,CMMMCIYPOM
Bachelors,2014,New Delhi,3,28,Female,No,1,0,Marketing,92901,HDGST
Bachelors,2015,Pune,3,25,Male,No,3,0,HR,99042,NRZZDNXVLHDB
Masters,2015,Pune,2,28,Female,No,2,0,HR,63826,ELFWTSHUALOGUB
Bachelors,2014,Bangalore,3,27,Female,No,5,0,Finance,88750,IBUJXKLFFVEODG
Bachelors,2013,Bangalore,3,26,Male,No,4,0,Operations,83171,AEEMZJE
Bachelors,2016,Bangalore,3,26,Male,No,4,0,Finance,76163,JCQCRJELUDIDD
Bachelors,2012,Bangalore,3,25,Male,No,3,0,IT,97671,ZMBJONJOCMJGJD
Bachelors,2015,Bangalore,3,25,Male,No,3,0,Finance,72799,VGUOKJZ
Bachelors,2014,New Delhi,3,24,Female,No,2,0,IT,85220,NTVJBUZEYYHM
Bachelors,2012,Bangalore,3,27,Male,No,5,1,IT,50049,LAJUCTLC
Masters,2017,New Delhi,3,27,Male,No,5,1,Marketing,67606,QKWPXPKZAI
Bachelors,2015,Pune,3,27,Male,No,5,0,HR,85205,PHSKSOQQLGUV
Bachelors,2018,Bangalore,3,24,Male,No,2,1,Finance,72987,TSCOXKHHQUNC
Masters,2017,New Delhi,3,27,Male,No,5,1,HR,88330,IKWGHRVISQTCKC
Masters,2017,New Delhi,2,28,Female,No,1,1,Finance,72000,RWGLB
Masters,2017,Pune,2,24,Male,No,2,1,IT,54351,ZVNQDWTTLJJS
Masters,2016,New Delhi,3,25,Female,No,3,1,IT,59933,KSABFRIFTNQVGZ
PHD,2015,New Delhi,3,28,Female,No,1,0,Finance,62507,JSJSB
Bachelors,2017,New Delhi,2,26,Male,No,4,0,IT,93450,TWLYXVH
Bachelors,2013,Bangalore,2,27,Male,No,5,0,Marketing,65253,IPBOSSAVNXHROF
Bachelors,2015,Bangalore,3,26,Male,No,4,0,Operations,85670,LWZGOLCATGLEAQ
Bachelors,2015,Bangalore,3,26,Male,No,4,0,Marketing,60693,FTFLPHEWJCILMO
Bachelors,2013,Bangalore,3,28,Male,No,1,0,Marketing,73615,XLTCFIOJZTRMK
Bachelors,2015,Bangalore,3,27,Female,No,5,0,Finance,56928,GMVMFRRDPC
Bachelors,2013,New Delhi,3,25,Female,No,3,0,Marketing,71694,EDIWKC
Bachelors,2013,Pune,3,28,Male,No,1,0,IT,62621,EAXZS
Bachelors,2017,Pune,3,24,Male,No,2,0,IT,77965,DSRAAAZ
Bachelors,2013,New Delhi,3,27,Female,No,5,0,IT,77747,EYMEJVHGGEEIG
Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,Finance,77982,YBYYMPGJ
Bachelors,2015,Pune,3,28,Male,No,3,0,HR,87492,HWYQUEAMZQIQD
Bachelors,2014,Pune,2,25,Female,No,3,1,Operations,76114,BIOFTZELD
Bachelors,2014,Bangalore,3,25,Male,No,3,0,Finance,80882,JGBPAMXJWRKMTW
Bachelors,2017,Bangalore,3,27,Male,No,5,0,Finance,74952,JMGSBKCVS
Bachelors,2014,Pune,2,26,Female,No,4,1,IT,67920,PRPRABRU
PHD,2013,New Delhi,3,24,Male,No,2,0,HR,82139,MXKAGMEQLWGLE
Bachelors,2015,Pune,2,26,Female,No,4,1,HR,93381,LYQXWK
Bachelors,2017,Bangalore,3,25,Male,No,3,0,IT,64555,RPJLFHAWWYU
Masters,2013,Pune,2,27,Male,No,5,1,IT,92560,PMXOXUVCYWNNL
Masters,2017,Bangalore,3,28,Male,No,2,0,IT,66278,LEXHAKMVRRFEXK
Bachelors,2012,Bangalore,3,25,Male,No,3,1,IT,57792,TNVBW
Bachelors,2017,Bangalore,3,27,Male,No,5,0,IT,91171,YIKMHJVQG
Masters,2017,Pune,2,27,Female,No,5,0,Finance,59525,PABSH
Masters,2013,Bangalore,2,28,Female,No,2,1,IT,73762,ZRIIORVPAUQ
Masters,2017,Pune,3,28,Male,No,1,1,IT,71364,ZOTBMPKFWK
Bachelors,2018,Bangalore,3,27,Female,No,5,1,Finance,88385,CPBBLAB
Bachelors,2014,New Delhi,3,25,Female,No,3,0,HR,93450,EFSBRF
Masters,2017,New Delhi,3,27,Male,No,5,1,Marketing,54400,OABVZKSPWJHXAL
Masters,2013,New Delhi,3,26,Male,No,4,1,Finance,78578,EJHRMLBJR
Bachelors,2013,Pune,2,25,Female,No,3,1,Operations,70906,SWIXYCQQ
Masters,2012,New Delhi,3,26,Male,No,4,1,Operations,52235,UIPJPU
Bachelors,2016,Bangalore,3,25,Male,No,3,1,HR,54659,WQARDRGNYEJQC
Bachelors,2013,Pune,2,26,Male,No,4,0,Marketing,68138,NNYIVCKEM
Bachelors,2018,Bangalore,3,28,Female,No,2,1,Finance,50717,IDDQYH
Bachelors,2013,Bangalore,3,27,Male,No,5,0,IT,55167,PEZYSACBKPVS
Bachelors,2015,Pune,1,24,Female,Yes,2,1,Marketing,68680,UYCCGFHDOQ
Bachelors,2013,Pune,3,28,Male,No,2,0,Operations,60172,EIMXLHNVPQ
Bachelors,2015,Pune,2,27,Female,Yes,5,1,Operations,76869,XSNUTNFOJ
Bachelors,2018,Bangalore,3,25,Male,No,3,1,Operations,66877,SXIAJOXG
Bachelors,2014,Pune,2,27,Female,No,5,1,Operations,68845,XGNUE
Bachelors,2013,Pune,3,24,Male,No,2,0,HR,84890,BYBPYXUPHGJIQG
Bachelors,2014,Pune,3,24,Male,No,2,0,Marketing,51165,HODIHFYYIYZG
PHD,2015,New Delhi,2,25,Female,No,3,0,IT,72014,GWKBSTJVEEKHI
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,HR,71533,JMFWNQ
Bachelors,2018,Bangalore,3,24,Male,No,2,1,Operations,52980,BHQTIVBRDFYPB
Masters,2015,Pune,2,25,Female,No,3,0,Finance,99191,NTTQEGKVZUKL
Bachelors,2015,Bangalore,3,24,Male,No,2,0,HR,62187,QERMDJIIEAA
Bachelors,2014,New Delhi,3,24,Female,No,2,0,Finance,89373,QNPYFOTJYJ
Masters,2017,Bangalore,2,26,Female,No,4,1,IT,54215,HTRMMI
Bachelors,2012,New Delhi,3,28,Male,No,1,0,IT,90275,EDSUVYJQFVQGA
Masters,2017,Pune,2,26,Female,No,4,0,Finance,99092,MDPXTNHQDWLH
Bachelors,2016,Pune,3,25,Male,No,3,0,IT,63403,AICQDMFJZ
Bachelors,2017,New Delhi,3,24,Male,No,2,1,Marketing,57452,DNBGOJMKIP
Bachelors,2013,Pune,2,28,Female,No,3,1,Marketing,75510,ZPWMVJHQCUG
Bachelors,2014,Bangalore,3,25,Female,No,3,1,HR,72741,VWDFFX
Bachelors,2014,Bangalore,3,25,Male,No,3,0,Operations,61958,YBOSEP
Bachelors,2014,Pune,2,24,Female,No,2,1,HR,71779,LHSJI
Bachelors,2015,Bangalore,3,28,Male,No,2,1,Finance,68726,VQHGUHBJTAZS
Bachelors,2015,Bangalore,3,27,Male,No,5,0,Finance,64923,GLJNEG
Bachelors,2016,Pune,3,26,Male,No,4,0,IT,93835,JVCDEDAPQZUBCW
Masters,2015,New Delhi,3,26,Female,No,4,1,Marketing,75343,QGJOZWRESSVP
Bachelors,2016,Bangalore,1,28,Female,No,2,0,Marketing,52581,MPQOMZVDUUISYP
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,HR,75568,XODOIKEKI
Bachelors,2014,Bangalore,3,27,Male,No,5,0,Marketing,93991,SFDFBKGA
Bachelors,2017,Bangalore,3,28,Male,No,2,0,HR,86709,PERCXMSVIDP
Masters,2018,New Delhi,3,24,Female,Yes,2,1,Marketing,87474,OCWATHQDAN
Bachelors,2017,Pune,2,25,Male,No,3,0,Finance,62879,XEODJTMTGC
Bachelors,2018,Pune,2,24,Female,No,2,1,Operations,57448,KBUVKYKGDQFFL
Masters,2017,New Delhi,2,28,Female,No,1,0,HR,89230,CEYMPSLCOL
Bachelors,2013,New Delhi,1,27,Female,No,5,0,HR,61691,WXWONUXXOO
Bachelors,2017,New Delhi,2,27,Female,No,5,0,HR,90449,LYLEVVBHVFIE
Bachelors,2017,Bangalore,3,28,Male,No,1,0,IT,74747,TGDGYKCVRJTHMB
Bachelors,2016,Pune,2,27,Female,No,5,1,IT,63308,RZSNPEGY
Masters,2018,Bangalore,3,24,Male,No,2,1,HR,90264,WPXXEL
Bachelors,2012,Pune,1,26,Male,No,4,0,HR,57748,YTMCERF
Bachelors,2016,Bangalore,3,26,Male,No,4,0,IT,91447,TWFCOUMUZWVW
Masters,2016,New Delhi,1,27,Male,No,5,0,IT,54106,FRHOBFB
Bachelors,2015,New Delhi,3,26,Female,No,4,0,Marketing,79256,YPNKHBOAGLJEVG
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,IT,92003,AUOBYGVFGRHXSO
Bachelors,2013,Bangalore,3,24,Male,Yes,2,1,Operations,70974,MSSKCE
Bachelors,2018,Bangalore,3,26,Female,No,4,1,Finance,97287,CJDIFBC
Masters,2017,Pune,2,26,Female,No,4,1,Marketing,64986,NBKMRVTXUHCG
Masters,2017,New Delhi,2,28,Female,No,2,0,Operations,75954,ESFHKPPQRBBTFS
Bachelors,2013,Pune,3,28,Male,No,1,0,Operations,64370,ZICUDFRWBVB
Masters,2013,New Delhi,3,25,Male,No,3,0,IT,91013,WWUGHVENMX
Bachelors,2018,Bangalore,3,28,Female,Yes,1,1,HR,84826,VCSBNNLNXIPAEH
Bachelors,2013,Pune,3,27,Female,No,5,1,HR,63606,OHMUIP
Bachelors,2012,Bangalore,3,25,Male,No,3,0,Marketing,94841,FRBOJVCHUCTW
Bachelors,2014,Bangalore,3,28,Male,No,1,0,HR,74136,WSPFAXB
Bachelors,2017,New Delhi,3,28,Female,No,3,0,IT,57479,WJCZTODW
Masters,2017,New Delhi,2,28,Male,Yes,2,0,HR,63683,VFDLMSC
Bachelors,2014,Bangalore,3,25,Male,No,3,0,Finance,60082,SLIVOM
Masters,2017,New Delhi,3,26,Male,No,4,0,Finance,64193,JVPTFWRSAW
Bachelors,2015,Pune,1,25,Female,No,3,1,Finance,51728,YVYYOCRV
Masters,2013,New Delhi,3,27,Male,No,5,0,Operations,64170,BXSEEK
PHD,2014,Bangalore,3,24,Female,No,2,0,Operations,65751,OGSKMP
Masters,2017,New Delhi,2,27,Female,No,5,0,Operations,60561,UNCSZ
Bachelors,2018,Bangalore,3,26,Male,No,4,1,HR,93335,HCXIKWCWTIOKX
Bachelors,2012,Bangalore,3,26,Male,No,4,0,Finance,89485,MYYXQYXWTEELF
Masters,2015,Pune,3,27,Female,No,5,1,IT,74808,GLKHYUKVM
Bachelors,2018,Bangalore,3,26,Male,No,4,1,Finance,89254,SXGKGRJUWIMBS
Bachelors,2016,Bangalore,3,24,Male,No,2,0,HR,77166,QEODSATXAMLSQC
Masters,2017,New Delhi,2,25,Female,No,3,0,Operations,64083,CEWKJRVU
Bachelors,2017,New Delhi,2,28,Male,No,1,0,HR,95632,VMOGZWJCMASE
Bachelors,2012,New Delhi,3,27,Female,No,5,0,Finance,58391,PMOEHDL
Masters,2013,New Delhi,3,26,Male,No,4,1,Finance,91294,AQPNKQUDLLQE
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,Finance,62855,LSOLTDOFMWXY
Bachelors,2014,Pune,3,28,Male,No,2,0,IT,93096,YAWMUPYL
Bachelors,2016,Bangalore,3,24,Female,No,2,1,Marketing,51363,RLJXTVUHLWL
Bachelors,2012,Bangalore,3,28,Male,No,3,0,Operations,57919,AATDCIGTGH
Bachelors,2012,Bangalore,3,27,Male,No,5,0,Marketing,82366,LCPOTEUFT
Bachelors,2013,Bangalore,3,26,Male,No,4,0,IT,50252,NTLSWW
Bachelors,2014,New Delhi,3,28,Female,No,1,0,Marketing,55089,GDEOTZWQOWPO
Bachelors,2014,New Delhi,3,27,Female,Yes,5,0,Finance,75442,RWJCGGA
Bachelors,2015,Pune,3,26,Female,Yes,4,1,Operations,98914,WASDDPLOHR
Masters,2014,New Delhi,3,26,Male,No,4,1,Marketing,86438,UPHPQITY
PHD,2015,New Delhi,3,25,Female,No,3,0,Operations,79618,NTLNXJFNKX
Masters,2015,New Delhi,3,25,Male,No,3,0,Marketing,86569,QKYEQXTZHPR
Bachelors,2012,Pune,3,27,Male,No,5,0,Finance,93858,ERFFOCEOIWUX
Masters,2017,New Delhi,2,24,Female,No,2,0,Finance,82855,EQXNRJUQDNNXDS
Bachelors,2016,Bangalore,3,24,Male,No,2,0,HR,58249,CNKVYM
Masters,2015,Pune,3,28,Female,No,2,0,Operations,78037,JBHAGBSK
Bachelors,2017,Bangalore,3,24,Female,No,2,0,IT,89715,CNKGFZOWWZ
